Your Input	Public Name
F42D1.2.1	tatn-1
T23E7.2f.1	T23E7.2
C36E6.2.2	C36E6.2
Y102A11A.9a.1	Y102A11A.9
C26B9.5.1	C26B9.5
ZK470.2c.1	ZK470.2
T03G11.3.1	T03G11.3
C18B12.2.1	seb-3
F18E9.5b.1	jmjd-3.1
C11E4.1.1	gpx-5
M02F4.8a.2	aqp-7
C23F12.1g.4	fln-2
B0272.4.1	B0272.4
H05G16.1a.2	frm-3
T08D10.3.1	T08D10.3
M03A8.2.2	atg-2
T14G8.2.1	T14G8.2
F14D12.2.1	unc-97
C39B10.2f.1	lgc-41
K02H8.1c.3	mbl-1
C54H2.1b.1	sym-3
ZC449.6.1	hsd-3
F59F3.1.1	ver-3
Y7A5A.9.1	Y7A5A.9
C30F2.5.1	C30F2.5
C07A12.4.1	pdi-2
C07B5.4b.1	C07B5.4
F41E7.2.1	F41E7.2
T23E7.2d.5	T23E7.2
ZC13.2.1	ZC13.2
ZK867.1b.2	syd-9
F49E10.5b.1	ctbp-1
C42D8.3.1	pnk-4
ZK867.3.1	spp-22
C07A12.1a.1	ham-2
C09B8.1a.1	ipp-5
C52B11.2.2	inso-1
F49E2.5w.1	F49E2.5
T14F9.4a.1	peb-1
C03B1.7a.1	C03B1.7
F38B6.5b.3	col-172
T07H6.2.1	mom-1
T22B2.2.1	T22B2.2
F46F6.2d.1	pkn-1
C04A11.5.1	C04A11.5
F08G12.8.1	nlp-57
K05B2.2b.4	K05B2.2
F49E10.2b.1	F49E10.2
R07A4.3.1	R07A4.3
B0410.2a.1	vang-1
F46H5.2a.2	F46H5.2
F58A3.2a.3	egl-15
F49E2.5j.1	F49E2.5
F46G10.3.2	sir-2.3
T24D3.2.1	T24D3.2
T23E7.2d.6	T23E7.2
R09G11.2c.1	nhr-1
T07H6.1a.2	cest-16
F31B12.4.1	F31B12.4
C25F6.4.1	ddr-1
T05A10.1c.2	sma-9
T22H6.2b.1	alh-13
Y41G9A.4b.1	gbb-1
F40F4.2.1	lbp-2
F39H12.2.1	F39H12.2
C29F7.2a.1	C29F7.2
K03A1.2b.1	lron-7
F49E2.5i.1	F49E2.5
F19G12.9a.3	F19G12.9
H06A10.1.1	H06A10.1
M153.5.1	M153.5
H42K12.1a.1	pdk-1
K09C4.5.1	K09C4.5
K05B2.2b.1	K05B2.2
C39B10.5.1	C39B10.5
C04A11.5.2	C04A11.5
Y15E3A.4.1	Y15E3A.4
T07C5.1b.1	ugt-50
C40C9.3.1	C40C9.3
K09F5.2.1	vit-1
ZC449.1.1	ZC449.1
B0403.5.1	B0403.5
C05D9.2.3	lmp-2
F52H2.15.1	F52H2.15
F25E2.1.1	gtr-1
D2021.1a.1	utx-1
K10B3.1a.1	K10B3.1
D1079.1a.1	D1079.1
F35C8.5.1	F35C8.5
ZK455.8a.1	oct-2
F38B6.5b.1	col-172
F52G3.1.1	F52G3.1
F49E7.1b.3	rme-6
F45E6.4.1	lips-1
K08B5.1.1	K08B5.1
C02C6.1a.1	dyn-1
F53B1.3.1	F53B1.3
C35C5.8b.2	C35C5.8
H28G03.2b.1	H28G03.2
T07C5.1b.2	ugt-50
T23E7.2e.1	T23E7.2
C44C1.1.1	C44C1.1
F46G10.4.1	F46G10.4
C05E11.3b.1	C05E11.3
T21F4.1.1	argn-1
R02E4.2.1	R02E4.2
F11C7.2.1	F11C7.2
K05B2.2a.1	K05B2.2
F18E9.4.1	F18E9.4
T04G9.4.1	T04G9.4
T25B6.7.1	snf-12
F38E9.1.1	F38E9.1
K10B3.1b.1	K10B3.1
Y7A5A.20.1	Y7A5A.20
C46H3.1.1	C46H3.1
F54B11.3a.1	unc-84
F47F2.1c.3	F47F2.1
F13E6.4.1	yap-1
C14A11.3b.1	cgef-1
C43H6.4.1	C43H6.4
F53B3.6.1	F53B3.6
F41E7.8.1	cnc-8
F59F5.5.1	F59F5.5
ZC504.2.1	acr-8
F11C1.6a.1	nhr-25
B0344.2.1	wrt-9
C46C11.3.2	C46C11.3
K08H2.6.1	hpl-1
F40F4.2.2	lbp-2
T14F9.3.1	hex-1
C36C9.11.1	C36C9.11
F41G4.1.1	dyla-1
F38B6.5a.1	col-172
C56E10.3a.1	C56E10.3
C39D10.11a.1	C39D10.11
T14F9.2.1	T14F9.2
C02B8.1.1	C02B8.1
C34E11.4.1	C34E11.4
C18B2.3.1	C18B2.3
K11E4.4a.1	pix-1
F43C9.1.1	F43C9.1
Y70D2A.1.2	Y70D2A.1
C18A11.4.1	C18A11.4
Y34B4A.7.2	Y34B4A.7
T23E7.2a.1	T23E7.2
ZK813.1.1	ZK813.1
R57.1b.1	gcp-2.1
C52B9.10.1	C52B9.10
K02H8.1b.1	mbl-1
T02C5.1a.1	T02C5.1
K03A11.5.2	K03A11.5
C36E6.1b.1	fubl-3
R07B1.9.1	R07B1.9
C25F6.3.1	dpyd-1
C01C4.3f.1	C01C4.3
F42E11.1a.1	pgp-4
F09B9.5.1	F09B9.5
B0302.2.1	B0302.2
R11G1.7.1	R11G1.7
T25G12.3.1	T25G12.3
C25F6.8.1	C25F6.8
R09G11.2c.2	nhr-1
Y71H9A.2.1	sto-6
B0310.1a.1	B0310.1
ZC449.3a.2	sek-3
F41C6.1.1	unc-6
T13C5.3.1	T13C5.3
C34D10.2a.1	unk-1
D1009.3b.2	ensh-1
C43C3.3.1	dyf-7
F11D5.3b.2	ddr-2
F48E3.9.1	F48E3.9
F56B6.5a.2	npr-16
T14E8.1c.1	svh-2
T24C2.2.1	enri-2
F42D1.3.3	sprr-2
R03G5.1.2	eef-1A.2
C14A11.2.1	C14A11.2
K02H8.1c.2	mbl-1
K05G3.3.1	cah-3
F53H4.5.1	gmeb-2
F53H4.4.2	F53H4.4
Y81B9A.2.1	Y81B9A.2
K02E10.1.1	K02E10.1
C56G3.1a.2	npr-8
W06D11.3.1	W06D11.3
C04C11.1a.1	C04C11.1
F58A3.2p.1	egl-15
F11C1.6b.1	nhr-25
K02H8.1a.2	mbl-1
K09F5.3.1	spp-14
F49E2.5j.2	F49E2.5
F14F3.2.1	git-1
T10B10.7.1	ocr-3
T25C12.2.1	spp-9
T27A10.3a.1	ckc-1
F46F2.5.1	F46F2.5
W07E11.1a.1	W07E11.1
C15C7.4.1	C15C7.4
ZC13.1b.1	ZC13.1
C24A3.4.1	C24A3.4
K09A11.1.1	K09A11.1
Y23B4A.2.1	capa-1
F17H10.2b.1	F17H10.2
F35C8.3.1	jkk-1
C26B9.1a.1	C26B9.1
F09B12.6.1	flr-4
C10A4.4.1	C10A4.4
F49E7.1b.1	rme-6
H22K11.3.2	H22K11.3
F58A3.2a.5	egl-15
C17G1.8.1	tsp-21
C33G3.1a.1	dyc-1
H35N09.1.1	H35N09.1
F02G3.1a.1	ncam-1
T23E7.4b.2	nlp-6
B0302.1b.1	sid-3
M02D8.2.1	M02D8.2
ZK899.8i.2	gap-2
Y62H9A.16.1	Y62H9A.16
C23F12.4.1	C23F12.4
H01A20.1.1	nhr-3
D1025.10.1	D1025.10
F38B2.1a.1	ifa-1
T23E7.2c.1	T23E7.2
T23F2.13.1	T23F2.13
R02E12.8.1	acr-10
R07E4.1b.1	R07E4.1
C24A3.2a.1	C24A3.2
K02E10.2a.1	hid-1
F14F3.1a.2	vab-3
C14F5.1a.1	dct-1
ZC449.2.1	ZC449.2
T04F8.3.1	T04F8.3
K03A11.5.1	K03A11.5
F17E5.2.2	F17E5.2
T25C12.1a.1	lin-14
F54B11.2.1	col-44
R08E3.1b.2	R08E3.1
F49E2.5m.1	F49E2.5
T08D2.8.1	T08D2.8
C14A11.3a.1	cgef-1
C04C11.2.2	arrd-25
B0302.1a.1	sid-3
T21E8.4.1	T21E8.4
K09E9.1a.2	K09E9.1
C52B11.3.1	dop-4
F08F1.1c.1	kin-9
F42D1.3.1	sprr-2
T23E7.4b.1	nlp-6
C02B4.1a.1	adt-1
C06G1.2.1	cpg-19
F46G10.5b.1	ptr-24
C05E11.6.1	C05E11.6
H11E01.3a.1	H11E01.3
F38E9.2.1	nas-39
Y62H9A.1.1	Y62H9A.1
Y34B4A.10.1	Y34B4A.10
H22K11.1.1	asp-3
C25F6.2.1	dlg-1
F22A3.7.1	ttr-36
F42F12.8.1	nspc-15
F20D1.10.1	emre-1
F49E10.5a.1	ctbp-1
T22B7.1a.3	egl-13
E02H4.1b.1	del-1
F47F2.1c.1	F47F2.1
K06A9.1a.1	K06A9.1
F31A3.2.1	hlh-28
R07B1.5.1	R07B1.5
M153.4.1	M153.4
M02F4.7.1	clec-265
B0563.1.1	B0563.1
C15H9.4.1	C15H9.4
F59F3.5.1	ver-4
F48F7.2.1	syx-2
R173.1.1	cah-5
F32A6.2.1	ift-81
F16F9.1.2	F16F9.1
F09B9.2a.1	unc-115
C09B7.2a.1	C09B7.2
F20B4.6.2	cgt-2
C01C4.3a.3	C01C4.3
F19G12.8.1	F19G12.8
F41E7.7a.1	F41E7.7
C39B10.7.1	C39B10.7
C33G3.4.1	C33G3.4
T19D7.1.1	lgc-32
F38B6.3.1	F38B6.3
F17H10.1.1	F17H10.1
H05G16.1a.1	frm-3
F39F10.2.1	F39F10.2
C02H7.1.1	dyf-11
F11A1.3e.1	daf-12
F52D10.4.1	F52D10.4
F59F4.2.1	serp-1.1
C12D12.3.1	C12D12.3
F56B6.2h.1	rgs-7
F46H6.1.1	rhi-1
ZC8.1.1	hsd-2
C09B8.1b.1	ipp-5
C54D2.2.1	C54D2.2
T22B7.1a.1	egl-13
F15G9.6.1	F15G9.6
T05A10.1h.2	sma-9
ZK899.8f.1	gap-2
C44C10.4.1	smcl-1
F13E6.5.1	plpp-1.3
W04G3.3.1	lpr-4
F56B6.5b.1	npr-16
F56F10.1.1	F56F10.1
F20B4.6.1	cgt-2
Y64H9A.2.1	Y64H9A.2
F15G9.4b.1	him-4
F28H6.1b.1	akt-2
ZK899.8i.4	gap-2
T13G4.3.1	tmc-1
T04F8.9.1	T04F8.9
F49H12.1a.1	lsy-2
K08H2.10.1	K08H2.10
C24A3.2b.1	C24A3.2
C45B2.8.1	C45B2.8
T25D1.3.1	T25D1.3
F19G12.9a.2	F19G12.9
R03A10.6.1	sprr-1
R07A4.3.2	R07A4.3
F38G1.1.1	che-2
T22B7.1b.3	egl-13
F09E10.1.1	F09E10.1
F46G10.7b.2	sir-2.2
F47B7.2a.1	F47B7.2
F46G10.2.1	F46G10.2
F34H10.5.1	F34H10.5
F14D12.4k.1	mec-2
F46G11.3.2	gakh-1
C39B10.3.1	C39B10.3
C25A11.4h.1	ajm-1
C09G1.5a.2	C09G1.5
C39D10.2.1	C39D10.2
C04A11.3a.1	gck-4
C03G5.7.1	flp-5
C45B2.6.1	C45B2.6
T21E8.5.1	T21E8.5
C02D4.1.1	jud-4
T25G12.4.1	rab-6.2
F52H2.2a.1	aat-3
H05G16.1b.1	frm-3
C52B9.3b.1	coel-1
F14B8.1b.1	nhx-4
T22B7.1b.1	egl-13
F49E7.1a.1	rme-6
T14G12.2.1	aex-4
C12D12.2a.1	glt-1
C08A9.10.1	C08A9.10
Y73B3A.20.2	Y73B3A.20
C34D10.2a.2	unk-1
T27A10.3b.1	ckc-1
ZK1193.1.1	col-19
F52B10.1b.1	nmy-1
F41E7.7b.1	F41E7.7
F46G10.3.1	sir-2.3
ZK816.1.1	ZK816.1
K09E2.3.2	K09E2.3
K09E2.2a.1	K09E2.2
F41E7.2.2	F41E7.2
F39D8.2b.1	psa-3
T10B10.2.1	ucr-2.2
K03E6.1b.2	lim-6
F46G10.7a.1	sir-2.2
C45B2.5.1	gln-1
M02D8.1.1	zig-12
F47B7.2c.1	F47B7.2
T01H10.1.1	lgc-13
C46F4.3.1	C46F4.3
C26B9.1b.1	C26B9.1
VZC374L.1.1	sek-6
F59D12.4.1	gpn-1
F48C11.1.1	gpa-6
C54H2.1a.1	sym-3
F21A10.1a.1	ncs-4
T23E7.4a.1	nlp-6
C24H10.1a.1	clc-7
F18G5.2a.1	pes-8
T19D2.1.1	adt-3
F02G3.1a.3	ncam-1
C02B8.4.2	hlh-8
C03A3.2.1	C03A3.2
F53A9.4.1	jbts-14
C34E11.3c.2	tag-241
C49F5.1.1	sams-1
C25G6.1.1	C25G6.1
B0395.1.1	nhx-1
W06D11.1.1	W06D11.1
T25B2.2a.1	T25B2.2
C31H2.1b.1	tbc-7
F58A3.1b.2	ldb-1
F49H12.4.1	F49H12.4
E03E2.1.1	cyp-43A1
F49E10.1.1	tbc-16
C11E4.2.1	gpx-3
F55F3.2a.1	cest-13
D1079.1b.1	D1079.1
T25B2.3.1	T25B2.3
C18B2.2.1	C18B2.2
Y15E3A.1b.2	nhr-91
ZK899.8i.3	gap-2
F49H12.3.1	F49H12.3
B0310.1b.1	B0310.1
C01C4.1.1	nlp-1
Y102A11A.3.1	Y102A11A.3
T05A10.1h.1	sma-9
C42D8.2.1	vit-2
R07B1.5.2	R07B1.5
R04A9.2.1	nrde-3
F44A6.1a.1	nucb-1
F58A3.2a.4	egl-15
T25G12.13.1	T25G12.13
T04G9.3.1	ile-2
M02E1.3.1	M02E1.3
F58A3.2g.1	egl-15
C03H12.1d.1	C03H12.1
F17A2.3.1	phf-32
ZK662.6.1	ZK662.6
Y73B3B.3.1	Y73B3B.3
ZC506.3.1	pssy-1
ZK867.1b.3	syd-9
T23E7.2d.7	T23E7.2
F49E2.5m.2	F49E2.5
ZK899.8i.1	gap-2
C25F6.1.1	C25F6.1
F16F9.3.1	F16F9.3
C25G6.2.1	tsp-9
ZK899.8i.5	gap-2
C23H4.7.1	cest-9.2
F17A2.1a.1	xtr-2
T14E8.1b.1	svh-2
C10A4.10.1	C10A4.10
F15G9.1a.1	F15G9.1
ZK380.1.1	tbx-32
T25G12.3.2	T25G12.3
F48D6.2a.1	srv-5
T14G8.3.1	T14G8.3
F31F6.8.1	sssh-1
F58A3.2f.1	egl-15
C03G5.10.1	nspc-3
F35C8.3.2	jkk-1
R02E12.5.1	R02E12.5
F11C7.6a.1	F11C7.6
F54F7.5.1	mes-1
F47B7.2b.1	F47B7.2
F09B9.4.1	F09B9.4
T22B7.1d.1	egl-13
F54E4.1g.1	rbc-1
R08E3.3b.1	R08E3.3
C33D3.3.1	C33D3.3
K01A12.4.1	K01A12.4
C53C11.5a.1	C53C11.5
B0563.4.1	tmbi-4
C04C11.2.1	arrd-25
F19C6.2.1	F19C6.2
K02A4.1.1	bcat-1
R09A8.1a.1	R09A8.1
C02F12.1a.1	tsp-17
C11G6.4a.1	nhr-28
R07B1.7.1	R07B1.7
F54B11.6.1	bra-1
B0403.2.1	ubc-17
F47B7.1.1	F47B7.1
F11D5.7.1	F11D5.7
F54B11.3b.1	unc-84
T09B9.5.1	T09B9.5
C05D9.2.1	lmp-2
C31E10.6.1	C31E10.6
F11C1.4.1	F11C1.4
R11G1.2.1	R11G1.2
C29F7.1.1	C29F7.1
F38E9.2.2	nas-39
ZK721.1.1	chup-1
B0395.1.2	nhx-1
C04A11.1a.1	C04A11.1
T23E7.5.1	tmem-218
F31F6.6.1	nac-1
M02E1.1a.2	M02E1.1
F10D7.11.3	F10D7.11
T01C8.2.2	T01C8.2
B0272.3.1	B0272.3
R11G1.2.2	R11G1.2
F48E3.1.2	gly-12
C42D8.1.1	C42D8.1
H28G03.1a.1	hrpa-2
F16B12.1.1	F16B12.1
C54D2.1b.1	C54D2.1
F47G3.1.1	F47G3.1
C33G3.1b.1	dyc-1
C15B12.2.1	C15B12.2
W06B11.1.1	atat-2
C47D2.1.1	C47D2.1
C39D10.11b.2	C39D10.11
F45B8.1.1	rgs-11
T19D2.3.1	T19D2.3
B0416.1b.1	tmc-2
F48E3.1.1	gly-12
R04A9.6.1	R04A9.6
C34F6.2.1	col-178
H13N06.7.1	H13N06.7
C04E7.1.1	C04E7.1
F49E2.5a.2	F49E2.5
M03F4.3b.1	tyra-3
K06G5.1.2	K06G5.1
ZC8.4a.3	lfi-1
ZK816.1.3	ZK816.1
C53C11.3.1	ptr-5
K03E6.3.1	ncs-3
R07E4.1b.2	R07E4.1
C44H4.7a.1	eor-2
ZK899.8e.1	gap-2
C35C5.10b.1	C35C5.10
D1009.3b.1	ensh-1
T07C5.1c.1	ugt-50
F18E9.5a.1	jmjd-3.1
F15G9.1b.3	F15G9.1
ZK816.3.1	ZK816.3
C14A11.3c.1	cgef-1
C24H10.2.1	C24H10.2
F45E1.1.1	F45E1.1
F38G1.2.2	egl-17
C23F12.1a.1	fln-2
W05H9.2.1	W05H9.2
F58A3.2a.1	egl-15
F49E2.2a.3	F49E2.2
C34F6.8.1	idh-2
T20B5.2.1	T20B5.2
R57.1c.1	gcp-2.1
T19D7.1.2	lgc-32
F08B12.2.1	prx-12
K09A9.1.1	nipi-3
C36E6.2.1	C36E6.2
C44H4.8.1	C44H4.8
C11G6.1a.1	taf-3
C49F5.7.1	C49F5.7
F59C12.1b.1	cdh-9
K08H2.3.1	K08H2.3
C34E11.3e.1	tag-241
F45B8.2.1	rgs-10
F11C1.5a.2	vwa-8
F52E10.1a.1	sdc-1
Y15E3A.5.1	Y15E3A.5
T08A9.2.2	ttr-30
T23F2.1.2	bus-8
F23D12.6.1	fipr-3
K02H8.1a.1	mbl-1
C52B9.2.4	ets-9
Y16B4A.1.1	unc-3
T01B10.2.1	grd-14
C15H9.4.2	C15H9.4
T04G9.2.1	nas-15
C09B7.2b.1	C09B7.2
ZC373.6.1	dao-4
K09A9.3.1	ent-2
C06G1.1b.1	C06G1.1
C54D1.2.1	clec-86
C23F12.9.1	C23F12.9
R03A10.5.1	R03A10.5
C53B7.4.1	asg-2
F58A3.2h.1	egl-15
C44H4.7b.1	eor-2
C25A11.4a.3	ajm-1
F42G10.2.1	mkk-4
T14E8.1a.1	svh-2
K09E2.4b.4	rig-1
F22F4.3.1	klp-13
C36B7.2.1	C36B7.2
C52B9.4.1	C52B9.4
M163.8.2	M163.8
C45B2.4m.1	lgc-58
C11G6.4b.2	nhr-28
F38E9.5.2	twf-2
F58A3.1a.2	ldb-1
F17E5.2.1	F17E5.2
C15H9.5.1	C15H9.5
ZK867.1b.4	syd-9
C53B7.3c.1	C53B7.3
C29F7.1.3	C29F7.1
H05L03.3.1	nlp-49
F59D12.1.1	pcdr-1
Y71H10A.1a.1	pfk-1.1
F22F4.2.1	inx-3
C26B9.1b.2	C26B9.1
F56B6.4c.1	gyg-1
F40B5.2a.1	F40B5.2
H13N06.2.1	H13N06.2
F48D6.3.1	hlh-13
K11G12.2.1	acr-2
F55F3.1.2	aakb-1
F26A10.1.1	nlp-61
F52D2.12.1	F52D2.12
R01E6.4a.1	acr-12
C07A12.2.1	C07A12.2
C23F12.1g.7	fln-2
C07B5.6.1	C07B5.6
C04B4.1.1	C04B4.1
R193.6.1	R193.6
C11H1.7a.1	C11H1.7
Y62H9A.6.1	ule-5
C30E1.5.1	fbxb-114
F09B12.5.1	F09B12.5
F28H6.1a.1	akt-2
C26G2.1b.1	syg-2
C01C4.3a.2	C01C4.3
F40E10.3.1	csq-1
C54D2.1a.1	C54D2.1
C01C4.3b.1	C01C4.3
F18E9.1.1	F18E9.1
F48F7.5.1	F48F7.5
F35H12.2c.1	tbc-11
F55D10.2.1	rpl-25.1
C16E9.2b.3	C16E9.2
F35H12.2a.1	tbc-11
VW06B3R.1b.1	ucr-2.1
F49E2.5l.2	F49E2.5
F45E1.1.2	F45E1.1
C07A4.3.1	C07A4.3
C04F6.9.1	C04F6.9
F11C1.5a.1	vwa-8
K04E7.2.1	pept-1
C29F7.1.2	C29F7.1
F11C1.10.1	F11C1.10
R07B1.5.3	R07B1.5
F52D1.1.1	aagr-4
R12H7.4.1	R12H7.4
F20B6.2.1	vha-12
T24C2.5.2	T24C2.5
C03H12.1f.2	C03H12.1
F22A3.3a.1	glr-8
F42F12.14.1	F42F12.14
T27A8.7.1	T27A8.7
C33E10.1.1	C33E10.1
C36E6.3.1	mlc-1
F21G4.2.1	mrp-4
R09G11.2a.2	nhr-1
E03G2.4.2	col-186
C26G2.2b.1	C26G2.2
ZC8.3.1	set-30
F54E4.1h.1	rbc-1
E02H4.7.1	E02H4.7
C11G6.2.1	C11G6.2
K09E2.4b.5	rig-1
F11D5.1a.1	F11D5.1
C15H9.2.1	C15H9.2
F46G10.7a.2	sir-2.2
C02F12.1c.1	tsp-17
C17G1.1.1	folr-1
F47F2.1c.2	F47F2.1
T22H6.2a.1	alh-13
T21E8.7.1	T21E8.7
F38B6.2.1	F38B6.2
T24D3.2.2	T24D3.2
W06B11.2.1	puf-9
F39H12.1.1	F39H12.1
F46G11.1b.1	twnk-1
C17G1.2.1	C17G1.2
F47F2.1c.4	F47F2.1
K03A11.6.1	K03A11.6
C04A11.1b.1	C04A11.1
C49F5.8.1	C49F5.8
C04E7.5.1	C04E7.5
Y34B4A.4a.1	Y34B4A.4
C03H12.1f.1	C03H12.1
C36E6.8.1	C36E6.8
C34E11.3a.1	tag-241
ZK662.2.1	ZK662.2
T14F9.1.2	vha-15
F11D5.3b.1	ddr-2
R08E3.3a.1	R08E3.3
Y71H9A.3.1	sto-4
F59F5.1.1	slcf-1
F02E8.4.1	F02E8.4
ZC506.1.1	ZC506.1
C10E2.3a.1	hda-4
M163.2a.1	ztf-14
C52B9.11.1	ets-10
K05B2.2b.2	K05B2.2
F11D5.1b.1	F11D5.1
C46F4.1b.1	egl-6
C09F12.1.1	clc-1
F46G10.7b.1	sir-2.2
T03G11.9.1	T03G11.9
F58A3.1a.1	ldb-1
